	sample	group	count	readcount
224	MBS1137	UHGG	3125606	4769534
225	MBH050	UHGG	18151702	27724556
226	MBH089	UHGG	32934557	47530789
227	MHS124	UHGG	8602378	17374040
228	MBH083	UHGG	38070933	61140822
229	MBS1136	UHGG	5265613	7489096
230	MBH052	UHGG	3930235	5935355
231	MBH094	UHGG	18109862	28398269
232	MHH347	UHGG	13969949	20621921
233	MBH055	UHGG	42049232	56366287
234	MHH520	UHGG	11582136	17756105
235	MBS1141	UHGG	21199806	30255157
236	MBH095	UHGG	14881978	20723616
237	MBS1174	UHGG	15014533	21448872
238	MHH540	UHGG	19754393	38017487
239	MHS121	UHGG	9581398	17934035
240	MHH616	UHGG	12536988	18919422
241	MBH066	UHGG	10629395	16895319
242	MHH588	UHGG	8790559	12840265
243	MHH397	UHGG	12573717	18060492
244	MBH081	UHGG	41092107	58801664
245	MBH084	UHGG	33517916	55053363
246	MHH516	UHGG	9457817	14480560
247	MHH590	UHGG	13600624	22284273
248	MBS1163	UHGG	15156299	21727863
249	MHH351	UHGG	13142639	20078282
250	MBS1150	UHGG	8363923	11806767
251	MHH624	UHGG	12533569	20372488
252	MHH261	UHGG	7486215	10710275
253	MHH369	UHGG	9644719	14889202
254	MBS1151	UHGG	20770215	31666653
255	MHH257	UHGG	12759195	18003920
256	MHH339	UHGG	18004111	24684245
257	MBS1161	UHGG	9558276	13999577
258	MHH352	UHGG	14505133	21806421
259	MHH372	UHGG	7458527	11168283
260	MHH592	UHGG	21111350	33096820
261	MHH259	UHGG	14634674	22453777
262	MHS119	UHGG	12302817	20954420
263	MBS1144	UHGG	15861118	24103714
264	MBH069	UHGG	19971476	26707333
265	MBH043	UHGG	19680363	25659590
266	MHH396	UHGG	13080213	18658632
267	MHH263	UHGG	6984897	10566019
268	MBH070	UHGG	11606019	16853619
269	MHH371	UHGG	13413124	21218453
270	MBS1128	UHGG	4163334	6378598
271	MHH576	UHGG	17524689	29361324
272	MHH534	UHGG	10169132	15443848
273	MHH375	UHGG	21600360	30901749
274	MBS1135	UHGG	12247370	18258285
