	Subject	Database	Classified
115	fam1664-F1-V04	UHGG	91.55
116	fam0502-F1-V04	UHGG	92.03
117	fam0507-F1-V00	UHGG	90.2
118	fam0504-F3-V08	UHGG	89.85
119	fam0506-F1-V09	UHGG	90.31
120	fam0504-F1-V05	UHGG	92.51
121	fam0504-F1-V01	UHGG	93.01
122	fam0509-F2-V07	UHGG	92.26
123	fam0509-F2-V10	UHGG	91.33
124	fam0511-F1-V09	UHGG	90.14
125	fam0504-F1-V06	UHGG	92.13
126	fam0507-F2-V09	UHGG	89.89
127	fam0504-F1-V02	UHGG	92.45
128	fam0509-F2-V04	UHGG	89.93
129	fam0525-F1-V08	UHGG	91.2
130	fam0504-F2-V08	UHGG	91.99
131	fam0528-F1-V04	UHGG	90.05
132	fam0511-F2-V07	UHGG	91.09
133	fam0511-F2-V10	UHGG	91.78999999999999
134	fam0507-F1-V10	UHGG	88.03999999999999
135	fam1664-F1-V03	UHGG	90.73
136	fam0502-F1-V03	UHGG	89.07
137	fam0507-F1-V07	UHGG	89.07
138	fam0511-F2-V03	UHGG	92.02
139	fam0502-F1-V07	UHGG	90.12
140	fam0507-F1-V03	UHGG	91.06
141	fam1664-F1-V07	UHGG	92.05
142	fam0502-F1-V10	UHGG	91.77
143	fam0525-F1-V09	SPMP	92.45
144	fam0509-F2-V05	SPMP	94.92
145	fam0504-F1-V03	SPMP	96.49
146	fam0507-F2-V08	SPMP	94.0
147	fam0504-F1-V10	SPMP	94.22
148	fam0511-F1-V08	SPMP	91.7
149	fam0504-F1-V07	SPMP	96.26
150	fam0502-F1-V11	SPMP	93.88
151	fam1664-F1-V06	SPMP	93.64
152	fam0502-F1-V06	SPMP	89.6
153	fam0507-F1-V02	SPMP	91.48
154	fam0511-F2-V02	SPMP	93.03
155	fam0502-F1-V02	SPMP	74.19
156	fam0507-F1-V06	SPMP	90.86
157	fam1664-F1-V02	SPMP	93.7
158	fam0507-F1-V11	SPMP	89.38
159	fam0528-F1-V05	SPMP	92.06
160	fam0504-F2-V09	SPMP	92.28
161	fam0511-F2-V06	SPMP	94.47
162	fam0502-F1-V05	SPMP	92.81
163	fam0507-F1-V01	SPMP	92.83
164	fam1664-F1-V05	SPMP	90.7
165	fam0509-F1-V08	SPMP	95.36
166	fam0528-F1-V02	SPMP	89.78999999999999
167	fam0511-F2-V01	SPMP	93.44
168	fam1664-F1-V01	SPMP	92.79
169	fam0507-F1-V05	SPMP	91.59
170	fam0511-F2-V05	SPMP	94.95
171	fam0457-F2-V07	SPMP	95.19
172	fam0528-F1-V06	SPMP	92.02
173	fam0509-F2-V06	SPMP	86.33
174	fam0504-F1-V00	SPMP	95.02
175	fam0504-F1-V04	SPMP	96.02
176	fam0504-F3-V09	SPMP	93.03
177	fam0506-F1-V08	SPMP	89.53999999999999
178	fam0507-F2-V01	SPMP	95.27
179	fam0509-F2-V08	SPMP	89.82
180	fam0525-F1-V04	SPMP	91.87
181	fam1665-F1-V06	SPMP	90.1
182	fam0506-F1-V02	SPMP	89.4
183	fam0504-F3-V03	SPMP	91.12
184	fam0511-F1-V01	SPMP	94.1
185	fam0507-F2-V05	SPMP	92.17
186	fam0457-F1-V07	SPMP	84.65
187	fam0506-F1-V11	SPMP	91.15
188	fam0511-F1-V05	SPMP	93.74
189	fam0504-F3-V10	SPMP	89.24
190	fam0504-F3-V07	SPMP	92.67
191	fam0506-F1-V06	SPMP	91.87
192	fam1665-F1-V02	SPMP	86.89
193	fam0509-F1-V06	SPMP	93.2
194	fam0509-F1-V02	SPMP	96.03
195	fam0504-F2-V04	SPMP	93.45
196	fam0528-F1-V08	SPMP	86.24
197	fam0509-F1-V05	SPMP	94.66
198	fam0502-F1-V08	SPMP	92.79
199	fam0504-F2-V03	SPMP	94.57
200	fam0507-F1-V08	SPMP	89.75
201	fam0509-F1-V01	SPMP	91.98
202	fam0504-F2-V10	SPMP	92.63
203	fam0504-F2-V07	SPMP	92.92
204	fam0511-F2-V08	SPMP	94.77
205	fam0525-F1-V07	SPMP	90.62
206	fam0507-F2-V02	SPMP	94.12
207	fam0511-F1-V02	SPMP	92.12
208	fam0506-F1-V01	SPMP	90.64
209	fam0507-F2-V06	SPMP	88.72
210	fam0525-F1-V03	SPMP	92.88
211	fam0507-F2-V11	SPMP	93.71
212	fam0506-F1-V05	SPMP	93.77
213	fam0504-F3-V04	SPMP	94.34
214	fam0511-F1-V06	SPMP	92.11
215	fam0504-F1-V09	SPMP	94.46
216	fam0504-F2-V06	SPMP	94.19
217	fam0511-F2-V09	SPMP	94.3
218	fam0509-F1-V00	SPMP	96.0
219	fam0507-F1-V09	SPMP	89.24
220	fam0504-F2-V02	SPMP	94.64
221	fam0502-F1-V09	SPMP	94.53
222	fam0511-F1-V07	SPMP	75.28999999999999
223	fam0504-F1-V08	SPMP	93.55
224	fam0457-F1-V05	SPMP	89.87
225	fam0506-F1-V04	SPMP	90.37
226	fam0511-F1-V10	SPMP	86.25
227	fam0504-F3-V05	SPMP	91.57
228	fam0507-F2-V10	SPMP	90.94
229	fam0507-F2-V07	SPMP	90.38
230	fam0504-F3-V01	SPMP	92.62
231	fam0511-F1-V03	SPMP	92.61
232	fam0507-F2-V03	SPMP	95.16
233	fam0525-F1-V06	SPMP	90.45
234	fam0504-F3-V06	SPMP	94.1
235	fam1665-F1-V03	SPMP	88.97
236	fam0506-F1-V07	SPMP	90.65
237	fam0506-F1-V10	SPMP	88.32
238	fam0457-F1-V06	SPMP	68.07
239	fam0511-F1-V04	SPMP	88.74
240	fam0507-F2-V04	SPMP	94.27
241	fam1665-F1-V07	SPMP	92.38
242	fam0504-F3-V02	SPMP	91.67
243	fam0525-F1-V05	SPMP	88.44
244	fam0509-F2-V09	SPMP	75.87
245	fam0528-F1-V09	SPMP	91.7
246	fam0504-F2-V05	SPMP	93.12
247	fam0509-F1-V03	SPMP	95.08
248	fam0504-F2-V01	SPMP	93.68
249	fam0509-F1-V07	SPMP	94.14
250	fam0509-F1-V10	SPMP	95.5
251	fam0511-F2-V04	SPMP	92.58
252	fam0528-F1-V07	SPMP	89.89
253	fam0457-F2-V06	SPMP	91.78999999999999
254	fam0502-F1-V00	SPMP	95.75
255	fam0507-F1-V04	SPMP	92.06
256	fam1664-F1-V00	SPMP	94.29
257	fam0528-F1-V03	SPMP	92.53
258	fam0509-F1-V09	SPMP	94.52
259	fam1664-F1-V04	SPMP	93.61
260	fam0502-F1-V04	SPMP	93.76
261	fam0507-F1-V00	SPMP	90.86
262	fam0504-F3-V08	SPMP	94.25
263	fam0506-F1-V09	SPMP	91.45
264	fam0504-F1-V05	SPMP	96.07
265	fam0504-F1-V01	SPMP	95.26
266	fam0509-F2-V07	SPMP	93.16
267	fam0509-F2-V10	SPMP	93.01
268	fam0511-F1-V09	SPMP	92.35
269	fam0504-F1-V06	SPMP	94.16
270	fam0507-F2-V09	SPMP	93.73
271	fam0504-F1-V02	SPMP	95.45
272	fam0509-F2-V04	SPMP	90.92
273	fam0525-F1-V08	SPMP	90.85
274	fam0504-F2-V08	SPMP	91.76
275	fam0528-F1-V04	SPMP	92.63
276	fam0511-F2-V07	SPMP	92.01
277	fam0511-F2-V10	SPMP	94.78
278	fam0507-F1-V10	SPMP	88.28999999999999
279	fam1664-F1-V03	SPMP	92.75
280	fam0502-F1-V03	SPMP	89.66
281	fam0507-F1-V07	SPMP	86.01
282	fam0511-F2-V03	SPMP	91.85
283	fam0502-F1-V07	SPMP	92.25
284	fam0507-F1-V03	SPMP	91.71000000000001
285	fam1664-F1-V07	SPMP	94.06
286	fam0502-F1-V10	SPMP	95.68
